"","trajectory","frame","x","y","z"
"1",1,1,102.24,43,1
"2",1,2,99.69,40.03,1
"3",2,34,51.93,104.28,1
"4",2,35,52.18,103.16,1
"5",3,40,54.13,103.89,1
"6",3,41,54.75,104.27,1
"7",3,42,54.02,103.18,1
"8",3,43,53.16,101.24,1
"9",3,44,53.23,100.19,1
"10",3,45,53.38,99.99,1
"11",3,46,54.69,100.12,1
"12",3,47,54.68,100.94,1
"13",4,51,54.7,102.17,1
"14",4,52,55.05,101.76,1
"15",5,59,58.72,29.77,1
"16",5,60,58.2,30.28,1
"17",6,70,51.67,27.81,1
"18",6,71,51.93,27.29,1
"19",7,119,61.27,108.97,1
"20",7,120,60.27,108.95,1
"21",8,125,52.95,100.73,1
"22",8,126,52.85,101.84,1
"23",8,127,52.75,101.61,1
"24",9,128,73.97,73.71,1
"25",9,129,73.22,73.95,1
"26",10,137,99.25,37.78,1
"27",10,138,99.7,38.01,1
"28",11,140,99.22,37.95,1
"29",11,141,98.75,38.04,1
"30",11,142,98.81,37.19,1
"31",12,155,10.81,30.04,1
"32",12,156,10.95,29.36,1
"33",13,155,96.24,38.96,1
"34",13,156,96.95,37.83,1
"35",14,162,97.07,38.29,1
"36",14,163,97.84,38.77,1
"37",14,164,97.86,38.23,1
"38",14,165,98.83,38.71,1
"39",15,167,99.16,37.88,1
"40",15,168,98.24,38.24,1
"41",15,169,98.84,38.07,1
"42",15,170,98.03,37.36,1
"43",15,171,98.26,37.86,1
"44",15,172,98.81,37.31,1
"45",15,173,98.23,37.79,1
"46",15,174,97.64,37.9,1
"47",15,175,97.99,38.29,1
"48",16,184,81.35,44.16,1
"49",16,185,81.81,44.26,1
"50",17,216,57.15,35.65,1
"51",17,217,56.27,35.8,1
"52",18,222,58.03,36.77,1
"53",18,223,58.13,36.8,1
"54",19,225,58.95,37.32,1
"55",19,226,59.83,37.27,1
"56",20,229,58.9,37.27,1
"57",20,230,58.88,36.3,1
"58",20,231,58.74,36.93,1
"59",21,237,55.71,37.02,1
"60",21,238,56.11,36.71,1
"61",21,239,56,37.32,1
"62",21,240,56.23,37.79,1
"63",22,241,48.71,106.04,1
"64",22,242,49.03,107.31,1
"65",22,243,49.11,109.84,1
"66",23,245,50.18,110.24,1
"67",23,246,50.61,109.08,1
"68",24,246,57.13,36.85,1
"69",24,247,57.85,37.7,1
"70",24,248,58.67,37.88,1
"71",24,249,58.1,38.13,1
"72",24,250,58.72,37.16,1
"73",24,251,58.97,37.65,1
"74",24,252,58.29,37.11,1
"75",25,251,92.85,43.78,1
"76",25,252,93.77,48.28,1
"77",26,253,49.13,103.65,1
"78",26,254,50.08,104,1
"79",27,255,57.18,36.3,1
"80",27,256,57.74,35.31,1
"81",28,261,57.82,37.37,1
"82",28,262,59.15,36.88,1
"83",28,263,59,36.7,1
"84",29,268,58.79,37.21,1
"85",29,269,59.69,37.13,1
"86",29,270,58.93,37.08,1
"87",29,271,59.12,37.59,1
"88",30,281,55.19,37.33,1
"89",30,282,54.29,37.92,1
"90",30,283,55.1,37.59,1
"91",30,284,55.12,37.29,1
"92",31,286,54.85,37.91,1
"93",31,287,55.83,37.97,1
"94",32,289,56.88,37.25,1
"95",32,290,56.88,37.3,1
"96",33,296,57.07,36.99,1
"97",33,297,55.18,36.22,1
"98",33,298,55.26,37.85,1
"99",33,299,55.98,36.85,1
"100",33,300,56.02,37.57,1
"101",34,305,56.17,36.68,1
"102",34,306,55.75,37.21,1
"103",34,307,55.18,36.77,1
"104",35,319,59.89,39.24,1
"105",35,320,60.12,39.35,1
"106",35,321,59.95,39.68,1
"107",35,322,60,39.78,1
"108",36,354,66.88,70.19,1
"109",36,355,67.69,71.09,1
"110",36,356,68.23,69.92,1
"111",37,359,72.86,76.37,1
"112",37,360,70.04,77.06,1
"113",37,361,67.89,76.3,1
"114",38,368,55.88,94.68,1
"115",38,369,57.32,96.03,1
"116",39,382,50.02,102.74,1
"117",39,383,49.89,103.67,1
"118",40,390,113.25,82,1
"119",40,391,113.65,85.08,1
"120",41,396,62.76,119.81,1
"121",41,397,64.95,115.36,1
"122",42,397,55.71,27.95,1
"123",42,398,55.04,27.27,1
"124",43,417,91.2,43.92,1
"125",43,418,91.1,43.65,1
"126",44,463,59.16,99.31,1
"127",44,464,60.26,99.72,1
"128",45,469,57.91,108.78,1
"129",45,470,58.11,108.32,1
"130",46,469,59.8,98.75,1
"131",46,470,60.18,99.98,1
"132",46,471,59.89,100.69,1
"133",46,472,60.76,100.02,1
"134",46,473,61.39,98.75,1
"135",46,474,61.72,98.18,1
"136",47,470,64.74,45.27,1
"137",47,471,67.76,47.69,1
"138",48,472,57.7,108,1
"139",48,473,58.15,107.65,1
"140",49,477,58.15,107.83,1
"141",49,478,58.11,107.66,1
"142",50,478,61.76,98.8,1
"143",50,479,60.22,97.71,1
"144",51,482,57.81,107.34,1
"145",51,483,58.3,107.2,1
"146",51,484,58.17,107.88,1
"147",52,485,69.09,46.69,1
"148",52,486,68.19,45.65,1
"149",53,488,68.66,46.98,1
"150",53,489,69.62,47.17,1
"151",53,490,69.89,47.66,1
"152",53,491,68.06,47.72,1
"153",53,492,69.68,48.79,1
"154",54,492,57.8,107.68,1
"155",54,493,58.02,107.69,1
"156",54,494,58.73,107.97,1
