"","trajectory","frame","x","y","z"
"188",40,91,83.13,60.84,1
"189",40,92,83.03,60.8,1
"190",40,93,83.07,60.73,1
"191",40,94,83.06,60.9,1
"192",40,95,83.03,61.16,1
"193",40,96,83.05,60.74,1
"194",40,97,82.98,61.05,1
"195",40,98,82.92,61.04,1
"196",40,99,82.91,60.89,1
"197",40,100,83.08,61.12,1
"198",40,101,83.03,61.03,1
"199",40,102,82.86,60.87,1
"200",40,103,83.09,60.77,1
"201",40,104,82.92,60.88,1
"202",41,83,76.75,74.01,1
"203",41,84,76.7,72.74,1
"204",41,85,76.32,73.12,1
"205",41,86,76.62,73,1
"206",42,86,34.12,91.75,1
"207",42,87,34.19,91.75,1
"208",42,88,34.05,91.34,1
"209",42,89,34.07,92.75,1
"210",43,87,69.12,74.21,1
"211",43,88,69.24,75,1
"212",44,88,76.64,72.96,1
"213",44,89,75.92,73.13,1
"214",44,90,75.83,73.72,1
"215",44,91,76.73,73.15,1
"216",45,89,60.71,43.73,1
"217",45,90,59.82,43.72,1
"218",45,91,60.2,43.86,1
"219",46,93,76.02,72.8,1
"220",46,94,76.06,72.36,1
"221",46,95,76.09,72.77,1
"222",47,96,60.3,44,1
"223",47,97,60.01,44.65,1
"224",48,97,34.16,91.9,1
"225",48,98,33.9,91.31,1
"226",49,101,60.78,43.22,1
"227",49,102,60.14,43.08,1
"228",49,103,60.29,43.79,1
"229",49,104,61.14,43.16,1
"230",49,105,61.68,42.94,1
"231",50,102,34.22,91.22,1
"232",50,103,34,91.14,1
"233",51,105,33.94,91.2,1
"234",51,106,33.88,90.83,1
"235",52,106,83.09,61.18,1
"236",52,107,82.89,60.81,1
"237",52,108,83.01,60.68,1
"238",52,109,83.01,60.72,1
"239",52,110,82.97,60.93,1
"240",52,111,82.98,60.94,1
"241",52,112,83.28,60.25,1
"242",52,113,83.24,60.69,1
"243",52,114,82.93,60.78,1
"244",52,115,83.13,60.71,1
"245",52,116,83.15,60.24,1
"246",52,117,82.9,60.79,1
"247",52,118,83.05,60.33,1
"248",52,119,83.1,60.32,1
"249",52,120,82.94,60.78,1
"250",53,108,32.71,91.89,1
"251",53,109,32.94,91.64,1
"252",54,112,60.8,44.68,1
"253",54,113,59.87,44.04,1
"254",54,114,59.93,44.05,1
"255",55,113,32.8,90.86,1
"256",55,114,32.82,90.08,1
"257",55,115,34.11,90.71,1
"258",55,116,32.92,89.99,1
"259",55,117,32.86,90.32,1
"260",56,114,27.71,89.21,1
"261",56,115,28,89.11,1
"262",57,116,61.12,44.24,1
"263",57,117,61.99,44.05,1
"264",58,120,61.76,43.11,1
"265",58,121,61.68,43.02,1
"266",58,122,60.74,42.83,1
"267",58,123,60.19,42.92,1
"268",58,124,60.93,43.07,1
"269",59,123,86.35,56.79,1
"270",59,124,86.25,56.72,1
"271",60,127,61.75,43.66,1
"272",60,128,60.8,43.12,1
"273",60,129,61.87,43.76,1
"274",61,131,71.36,34.88,1
"275",61,132,71.2,34.7,1
"276",61,133,70.95,34.65,1
"277",62,132,84.09,60.19,1
"278",62,133,83.08,60.61,1
"279",62,134,83.29,61.07,1
